timestamp,demand_mw,temperature,humidity,hour,day_of_week,month,is_weekend,is_holiday,is_anomaly
2022-01-01 00:00:00,565.73,-3.2,69.2,0,5,1,1,1,0
2022-01-01 01:00:00,570.44,-4.9,63.6,1,5,1,1,1,0
2022-01-01 02:00:00,519.17,-2.1,65.0,2,5,1,1,1,0
2022-01-01 03:00:00,509.47,1.4,72.0,3,5,1,1,1,0
2022-01-01 04:00:00,512.13,-2.9,64.1,4,5,1,1,1,0
2022-01-01 05:00:00,521.68,-1.7,75.9,5,5,1,1,1,0
2022-01-01 06:00:00,583.07,5.1,67.6,6,5,1,1,1,0
2022-01-01 07:00:00,626.59,3.9,53.6,7,5,1,1,1,0
2022-01-01 08:00:00,632.64,1.4,72.5,8,5,1,1,1,0
2022-01-01 09:00:00,629.12,5.5,61.0,9,5,1,1,1,0
2022-01-01 10:00:00,635.45,3.3,55.1,10,5,1,1,1,0
2022-01-01 11:00:00,663.05,3.8,61.7,11,5,1,1,1,0
2022-01-01 12:00:00,665.89,6.1,69.3,12,5,1,1,1,0
2022-01-01 13:00:00,649.06,-0.6,64.7,13,5,1,1,1,0
2022-01-01 14:00:00,686.57,-0.5,78.4,14,5,1,1,1,0
2022-01-01 15:00:00,635.69,2.2,70.2,15,5,1,1,1,0
2022-01-01 16:00:00,647.85,-0.2,65.3,16,5,1,1,1,0
2022-01-01 17:00:00,597.96,2.6,49.0,17,5,1,1,1,0
2022-01-01 18:00:00,593.12,-2.4,58.9,18,5,1,1,1,0
2022-01-01 19:00:00,621.56,-5.2,62.3,19,5,1,1,1,0
2022-01-01 20:00:00,889.98,2.2,66.3,20,5,1,1,1,1
2022-01-01 21:00:00,684.48,-3.9,67.5,21,5,1,1,1,0
2022-01-01 22:00:00,658.04,-3.8,62.8,22,5,1,1,1,0
2022-01-01 23:00:00,624.22,-8.8,63.8,23,5,1,1,1,0
2022-01-02 00:00:00,550.97,-6.2,69.1,0,6,1,1,0,0
2022-01-02 01:00:00,550.04,-4.1,52.6,1,6,1,1,0,0
2022-01-02 02:00:00,579.64,-7.4,79.2,2,6,1,1,0,0
2022-01-02 03:00:00,559.11,-2.0,40.1,3,6,1,1,0,0
2022-01-02 04:00:00,540.45,-3.9,75.7,4,6,1,1,0,0
2022-01-02 05:00:00,524.4,-1.8,60.1,5,6,1,1,0,0
2022-01-02 06:00:00,579.68,-1.4,70.5,6,6,1,1,0,0
2022-01-02 07:00:00,573.69,7.2,61.5,7,6,1,1,0,0
2022-01-02 08:00:00,631.58,2.8,62.6,8,6,1,1,0,0
2022-01-02 09:00:00,669.29,0.8,65.3,9,6,1,1,0,0
2022-01-02 10:00:00,669.84,7.2,65.9,10,6,1,1,0,0
2022-01-02 11:00:00,663.68,1.6,56.2,11,6,1,1,0,0
2022-01-02 12:00:00,651.71,6.0,68.5,12,6,1,1,0,0
2022-01-02 13:00:00,670.17,-0.7,49.4,13,6,1,1,0,0
2022-01-02 14:00:00,625.76,0.7,59.7,14,6,1,1,0,0
2022-01-02 15:00:00,613.11,4.5,67.0,15,6,1,1,0,0
2022-01-02 16:00:00,614.0,5.1,68.4,16,6,1,1,0,0
2022-01-02 17:00:00,606.88,2.2,63.9,17,6,1,1,0,0
2022-01-02 18:00:00,589.7,0.0,56.1,18,6,1,1,0,0
2022-01-02 19:00:00,609.82,-1.8,69.5,19,6,1,1,0,0
2022-01-02 20:00:00,659.1,-6.5,55.3,20,6,1,1,0,0
2022-01-02 21:00:00,670.53,-5.3,79.1,21,6,1,1,0,0
2022-01-02 22:00:00,657.63,-5.3,60.8,22,6,1,1,0,0
2022-01-02 23:00:00,637.57,-1.3,45.0,23,6,1,1,0,0
2022-01-03 00:00:00,594.4,-3.5,49.1,0,0,1,0,0,0
2022-01-03 01:00:00,616.02,-9.7,63.3,1,0,1,0,0,0
2022-01-03 02:00:00,612.76,-2.9,62.3,2,0,1,0,0,0
2022-01-03 03:00:00,595.41,-4.2,81.0,3,0,1,0,0,0
2022-01-03 04:00:00,584.24,-4.1,50.8,4,0,1,0,0,0
2022-01-03 05:00:00,577.16,1.0,60.1,5,0,1,0,0,0
2022-01-03 06:00:00,644.52,3.5,48.3,6,0,1,0,0,0
2022-01-03 07:00:00,684.88,4.5,53.7,7,0,1,0,0,0
2022-01-03 08:00:00,721.73,0.4,76.7,8,0,1,0,0,0
2022-01-03 09:00:00,753.3,3.1,47.7,9,0,1,0,0,0
2022-01-03 10:00:00,731.32,5.8,64.1,10,0,1,0,0,0
2022-01-03 11:00:00,736.7,8.2,61.5,11,0,1,0,0,0
2022-01-03 12:00:00,742.96,4.0,58.6,12,0,1,0,0,0
2022-01-03 13:00:00,738.39,4.7,63.8,13,0,1,0,0,0
2022-01-03 14:00:00,783.83,1.5,48.0,14,0,1,0,0,0
2022-01-03 15:00:00,734.75,0.4,76.4,15,0,1,0,0,0
2022-01-03 16:00:00,700.81,5.4,77.6,16,0,1,0,0,0
2022-01-03 17:00:00,645.54,5.8,58.7,17,0,1,0,0,0
2022-01-03 18:00:00,667.51,0.2,84.2,18,0,1,0,0,0
2022-01-03 19:00:00,706.67,2.2,55.4,19,0,1,0,0,0
2022-01-03 20:00:00,754.39,-1.0,64.3,20,0,1,0,0,0
2022-01-03 21:00:00,767.67,-5.0,75.8,21,0,1,0,0,0
2022-01-03 22:00:00,735.14,-2.8,56.2,22,0,1,0,0,0
2022-01-03 23:00:00,695.91,0.2,46.1,23,0,1,0,0,0
2022-01-04 00:00:00,622.34,-4.6,45.3,0,1,1,0,0,0
2022-01-04 01:00:00,611.01,0.4,80.5,1,1,1,0,0,0
2022-01-04 02:00:00,670.38,-11.7,58.2,2,1,1,0,0,0
2022-01-04 03:00:00,886.37,-0.6,58.3,3,1,1,0,0,1
2022-01-04 04:00:00,630.23,-1.7,49.4,4,1,1,0,0,0
2022-01-04 05:00:00,655.62,-1.7,70.0,5,1,1,0,0,0
2022-01-04 06:00:00,604.51,0.8,51.9,6,1,1,0,0,0
2022-01-04 07:00:00,689.14,-4.2,56.3,7,1,1,0,0,0
2022-01-04 08:00:00,702.71,2.4,62.3,8,1,1,0,0,0
2022-01-04 09:00:00,701.9,5.1,47.8,9,1,1,0,0,0
2022-01-04 10:00:00,700.17,9.3,55.4,10,1,1,0,0,0
2022-01-04 11:00:00,710.88,3.8,72.9,11,1,1,0,0,0
2022-01-04 12:00:00,744.51,3.1,63.4,12,1,1,0,0,0
2022-01-04 13:00:00,762.96,3.8,60.2,13,1,1,0,0,0
2022-01-04 14:00:00,739.31,7.6,59.9,14,1,1,0,0,0
2022-01-04 15:00:00,700.56,5.0,54.6,15,1,1,0,0,0
2022-01-04 16:00:00,710.13,1.4,79.5,16,1,1,0,0,0
2022-01-04 17:00:00,702.99,3.3,50.9,17,1,1,0,0,0
2022-01-04 18:00:00,627.18,0.8,61.9,18,1,1,0,0,0
2022-01-04 19:00:00,690.45,2.1,60.5,19,1,1,0,0,0
2022-01-04 20:00:00,747.29,-4.1,71.3,20,1,1,0,0,0
2022-01-04 21:00:00,752.21,-4.0,72.2,21,1,1,0,0,0
2022-01-04 22:00:00,761.27,-5.0,61.2,22,1,1,0,0,0
2022-01-04 23:00:00,696.16,-8.7,65.5,23,1,1,0,0,0
2022-01-05 00:00:00,600.47,-3.5,64.3,0,2,1,0,0,0
2022-01-05 01:00:00,634.03,-3.5,38.3,1,2,1,0,0,0
2022-01-05 02:00:00,587.15,-3.7,45.2,2,2,1,0,0,0
2022-01-05 03:00:00,637.2,-3.7,55.0,3,2,1,0,0,0
2022-01-05 04:00:00,637.49,-6.2,56.2,4,2,1,0,0,0
2022-01-05 05:00:00,630.76,-2.0,48.6,5,2,1,0,0,0
2022-01-05 06:00:00,651.95,-0.4,67.6,6,2,1,0,0,0
2022-01-05 07:00:00,697.67,-0.5,60.2,7,2,1,0,0,0
2022-01-05 08:00:00,678.76,2.6,57.1,8,2,1,0,0,0
2022-01-05 09:00:00,706.43,5.3,45.8,9,2,1,0,0,0
2022-01-05 10:00:00,715.61,10.6,56.4,10,2,1,0,0,0
2022-01-05 11:00:00,720.81,5.9,32.0,11,2,1,0,0,0
2022-01-05 12:00:00,745.3,6.4,56.5,12,2,1,0,0,0
2022-01-05 13:00:00,718.14,5.2,59.1,13,2,1,0,0,0
2022-01-05 14:00:00,754.5,-0.8,62.7,14,2,1,0,0,0
2022-01-05 15:00:00,753.43,4.0,43.1,15,2,1,0,0,0
2022-01-05 16:00:00,675.08,3.3,61.3,16,2,1,0,0,0
2022-01-05 17:00:00,657.63,9.3,46.8,17,2,1,0,0,0
2022-01-05 18:00:00,878.67,0.0,51.9,18,2,1,0,0,1
2022-01-05 19:00:00,682.76,0.2,67.1,19,2,1,0,0,0
2022-01-05 20:00:00,749.38,-2.0,80.7,20,2,1,0,0,0
2022-01-05 21:00:00,750.76,-6.5,62.5,21,2,1,0,0,0
2022-01-05 22:00:00,521.56,-0.3,51.9,22,2,1,0,0,1
2022-01-05 23:00:00,713.09,-2.0,62.5,23,2,1,0,0,0
2022-01-06 00:00:00,614.62,-2.0,70.0,0,3,1,0,0,0
2022-01-06 01:00:00,610.12,-6.9,68.3,1,3,1,0,0,0
2022-01-06 02:00:00,622.11,0.5,87.3,2,3,1,0,0,0
2022-01-06 03:00:00,637.34,-7.1,55.0,3,3,1,0,0,0
2022-01-06 04:00:00,579.69,-0.1,62.5,4,3,1,0,0,0
2022-01-06 05:00:00,572.91,5.9,73.7,5,3,1,0,0,0
2022-01-06 06:00:00,611.56,-2.3,75.6,6,3,1,0,0,0
2022-01-06 07:00:00,657.81,0.3,40.4,7,3,1,0,0,0
2022-01-06 08:00:00,693.37,3.5,58.9,8,3,1,0,0,0
2022-01-06 09:00:00,701.55,2.7,74.0,9,3,1,0,0,0
2022-01-06 10:00:00,728.97,0.3,88.8,10,3,1,0,0,0
2022-01-06 11:00:00,767.33,5.7,65.3,11,3,1,0,0,0
2022-01-06 12:00:00,773.17,2.5,55.6,12,3,1,0,0,0
2022-01-06 13:00:00,721.98,6.9,47.8,13,3,1,0,0,0
2022-01-06 14:00:00,755.79,2.2,81.5,14,3,1,0,0,0
2022-01-06 15:00:00,728.48,8.8,64.6,15,3,1,0,0,0
2022-01-06 16:00:00,719.95,0.8,51.3,16,3,1,0,0,0
2022-01-06 17:00:00,688.91,1.0,57.7,17,3,1,0,0,0
2022-01-06 18:00:00,672.68,3.1,62.2,18,3,1,0,0,0
2022-01-06 19:00:00,728.38,-4.3,66.7,19,3,1,0,0,0
2022-01-06 20:00:00,708.5,-1.2,51.4,20,3,1,0,0,0
2022-01-06 21:00:00,733.09,1.0,53.5,21,3,1,0,0,0
2022-01-06 22:00:00,743.73,-8.5,46.0,22,3,1,0,0,0
2022-01-06 23:00:00,733.91,-3.6,71.5,23,3,1,0,0,0
2022-01-07 00:00:00,608.85,-3.5,57.6,0,4,1,0,0,0
2022-01-07 01:00:00,600.21,-1.8,65.2,1,4,1,0,0,0
2022-01-07 02:00:00,652.45,-7.3,76.4,2,4,1,0,0,0
2022-01-07 03:00:00,635.48,-6.8,64.2,3,4,1,0,0,0
2022-01-07 04:00:00,652.84,-0.2,58.9,4,4,1,0,0,0
2022-01-07 05:00:00,591.76,0.3,61.8,5,4,1,0,0,0
2022-01-07 06:00:00,645.17,1.5,60.2,6,4,1,0,0,0
2022-01-07 07:00:00,699.12,3.1,71.5,7,4,1,0,0,0
2022-01-07 08:00:00,680.84,1.2,62.8,8,4,1,0,0,0
2022-01-07 09:00:00,742.21,5.0,53.1,9,4,1,0,0,0
2022-01-07 10:00:00,704.62,5.9,68.7,10,4,1,0,0,0
2022-01-07 11:00:00,758.53,3.4,71.3,11,4,1,0,0,0
2022-01-07 12:00:00,689.14,11.3,43.2,12,4,1,0,0,0
2022-01-07 13:00:00,736.54,7.0,73.2,13,4,1,0,0,0
2022-01-07 14:00:00,714.74,1.5,63.2,14,4,1,0,0,0
2022-01-07 15:00:00,750.52,6.2,61.0,15,4,1,0,0,0
2022-01-07 16:00:00,687.64,0.3,70.0,16,4,1,0,0,0
2022-01-07 17:00:00,656.14,4.4,53.0,17,4,1,0,0,0
2022-01-07 18:00:00,658.08,4.2,68.3,18,4,1,0,0,0
2022-01-07 19:00:00,697.05,-3.0,57.1,19,4,1,0,0,0
2022-01-07 20:00:00,739.91,1.1,44.9,20,4,1,0,0,0
2022-01-07 21:00:00,730.47,-1.6,50.5,21,4,1,0,0,0
2022-01-07 22:00:00,716.91,-1.1,66.0,22,4,1,0,0,0
2022-01-07 23:00:00,694.66,1.6,50.1,23,4,1,0,0,0
2022-01-08 00:00:00,520.42,-4.9,77.6,0,5,1,1,0,0
2022-01-08 01:00:00,556.75,-6.3,73.8,1,5,1,1,0,0
2022-01-08 02:00:00,566.09,-6.2,75.2,2,5,1,1,0,0
2022-01-08 03:00:00,556.56,-5.2,62.8,3,5,1,1,0,0
2022-01-08 04:00:00,548.61,-1.9,63.2,4,5,1,1,0,0
2022-01-08 05:00:00,489.87,0.5,47.9,5,5,1,1,0,0
2022-01-08 06:00:00,565.83,1.6,69.5,6,5,1,1,0,0
2022-01-08 07:00:00,587.57,4.6,62.4,7,5,1,1,0,0
2022-01-08 08:00:00,649.02,3.4,64.7,8,5,1,1,0,0
2022-01-08 09:00:00,612.95,8.7,74.3,9,5,1,1,0,0
2022-01-08 10:00:00,607.51,4.4,52.6,10,5,1,1,0,0
2022-01-08 11:00:00,615.09,13.8,54.6,11,5,1,1,0,0
2022-01-08 12:00:00,643.7,7.7,61.0,12,5,1,1,0,0
2022-01-08 13:00:00,624.24,3.1,49.7,13,5,1,1,0,0
2022-01-08 14:00:00,680.18,1.9,57.5,14,5,1,1,0,0
2022-01-08 15:00:00,601.92,5.8,63.2,15,5,1,1,0,0
2022-01-08 16:00:00,630.98,2.6,56.0,16,5,1,1,0,0
2022-01-08 17:00:00,571.28,4.3,71.8,17,5,1,1,0,0
2022-01-08 18:00:00,603.43,2.2,44.2,18,5,1,1,0,0
2022-01-08 19:00:00,616.57,-0.7,71.4,19,5,1,1,0,0
2022-01-08 20:00:00,652.37,-4.2,67.9,20,5,1,1,0,0
2022-01-08 21:00:00,692.36,-7.3,56.5,21,5,1,1,0,0
2022-01-08 22:00:00,643.7,-4.9,52.2,22,5,1,1,0,0
2022-01-08 23:00:00,635.84,-1.4,39.6,23,5,1,1,0,0
2022-01-09 00:00:00,530.73,-3.5,53.1,0,6,1,1,0,0
2022-01-09 01:00:00,541.1,-7.7,72.8,1,6,1,1,0,0
2022-01-09 02:00:00,536.97,-2.9,60.3,2,6,1,1,0,0
2022-01-09 03:00:00,512.64,-1.5,72.1,3,6,1,1,0,0
2022-01-09 04:00:00,538.93,-4.2,55.1,4,6,1,1,0,0
2022-01-09 05:00:00,536.58,0.1,67.1,5,6,1,1,0,0
2022-01-09 06:00:00,530.59,1.1,52.5,6,6,1,1,0,0
2022-01-09 07:00:00,631.41,-1.2,50.7,7,6,1,1,0,0
2022-01-09 08:00:00,632.89,4.5,57.6,8,6,1,1,0,0
2022-01-09 09:00:00,595.26,6.1,51.5,9,6,1,1,0,0
2022-01-09 10:00:00,600.95,8.5,42.0,10,6,1,1,0,0
2022-01-09 11:00:00,666.75,8.9,55.5,11,6,1,1,0,0
2022-01-09 12:00:00,689.98,1.8,60.5,12,6,1,1,0,0
2022-01-09 13:00:00,952.42,2.9,71.8,13,6,1,1,0,1
2022-01-09 14:00:00,617.73,6.8,67.3,14,6,1,1,0,0
2022-01-09 15:00:00,669.35,6.0,70.4,15,6,1,1,0,0
2022-01-09 16:00:00,600.06,4.9,65.7,16,6,1,1,0,0
2022-01-09 17:00:00,569.41,13.8,59.2,17,6,1,1,0,0
